@RELATION glass

@ATTRIBUTE IndiceRefracao	{baixa,alta}
@ATTRIBUTE Sodio	{baixa,media,alta}
@ATTRIBUTE Magnesio	{baixissima,baixa,mediabaixa,media,mediaalta,alta,altissima}
@ATTRIBUTE Aluminio	{baixa,media,alta}
@ATTRIBUTE Silicio	{baixa,alta}
@ATTRIBUTE Potassio	{baixa,alta}
@ATTRIBUTE Calcio	{baixa,media,alta}
@ATTRIBUTE Bario	{baixa,mediabaixa,media,mediaalta,alta}
@ATTRIBUTE Ferro	{baixa,mediabaixa,mediaalta,alta}
@ATTRIBUTE Tipo	{1,2,3,4,5,6,7}


@DATA
baixa,media,altissima,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,mediaalta,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediaalta,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
alta,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,mediaalta,media,baixa,baixa,media,baixa,baixa,1
alta,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,mediaalta,media,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,mediaalta,media,alta,baixa,media,baixa,baixa,1
baixa,media,mediaalta,media,alta,baixa,media,baixa,baixa,1
baixa,media,mediaalta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,mediaalta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediaalta,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,1
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,1
baixa,media,alta,media,alta,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,mediabaixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
baixa,media,alta,baixa,baixa,baixa,media,baixa,mediabaixa,1
alta,media,alta,baixa,baixa,baixa,media,baixa,baixa,1
baixa,media,alta,media,baixa,baixa,baixa,baixa,mediabaixa,2
baixa,media,alta,media,baixa,baixa,media,baixa,mediaalta,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,baixa,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,2
baixa,media,mediaalta,media,baixa,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,media,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,2
baixa,media,alta,media,alta,baixa,media,baixa,baixa,2
baixa,media,alta,media,alta,baixa,baixa,baixa,mediabaixa,2
baixa,media,alta,media,baixa,baixa,media,baixa,mediabaixa,2
baixa,media,alta,media,alta,baixa,media,baixa,baixa,2
baixa,media,alta,media,alta,baixa,media,baixa,mediabaixa,2
baixa,media,mediaalta,media,alta,baixa,media,baixa,baixa,2
