@RELATION iris

@ATTRIBUTE ComprimentoSepala	{baixissima,baixa,mediabaixa,media,mediaalta,alta,altissima}
@ATTRIBUTE LarduraSepala	{baixa,alta}
@ATTRIBUTE ComprimentoPetala	{baixa,mediabaixa,media,mediaalta,alta}
@ATTRIBUTE LarguraPetala	{baixa,mediabaixa,media,mediaalta,alta}
@ATTRIBUTE Classes	{1,2,3}


@DATA
baixa,alta,baixa,baixa,1
baixa,baixa,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
baixa,alta,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixissima,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixa,baixa,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixissima,alta,baixa,baixa,1
baixa,alta,baixa,mediabaixa,1
baixa,alta,mediabaixa,baixa,1
baixa,baixa,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixa,baixa,baixa,baixa,1
baixa,baixa,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,baixa,baixa,baixa,1
baixa,baixa,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,baixa,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
baixa,alta,mediabaixa,baixa,1
baixa,baixa,baixa,baixa,1
baixa,alta,baixa,baixa,1
baixissima,baixa,baixa,baixa,1
mediabaixa,alta,baixa,baixa,1
baixa,alta,baixa,baixa,1
alta,baixa,mediaalta,media,3
mediaalta,baixa,media,media,3
mediaalta,baixa,mediaalta,media,3
mediabaixa,baixa,media,media,3
mediabaixa,baixa,media,media,3
media,alta,mediaalta,media,3
baixa,baixa,media,mediabaixa,3
baixa,baixa,media,media,3
baixa,baixa,media,mediabaixa,3
media,baixa,media,media,3
media,baixa,media,mediabaixa,3
media,baixa,mediaalta,media,3
mediabaixa,baixa,media,media,3
mediaalta,baixa,media,media,3
mediabaixa,baixa,media,media,3
media,baixa,media,mediabaixa,3
media,baixa,media,media,3
mediabaixa,baixa,media,media,3
