@RELATION wine

@ATTRIBUTE AcidezFixa	{baixa,media,alta}
@ATTRIBUTE AcidezVolatil	{baixissima,baixa,mediabaixa,media,mediaalta,alta,altissima}
@ATTRIBUTE AcidoCitrico	{baixa,alta}
@ATTRIBUTE AcucarResidual	{baixa,mediabaixa,mediaalta,alta}
@ATTRIBUTE Cloreto	{baixa,media,alta}
@ATTRIBUTE DioxidoEnxofreLivre	{baixa,alta}
@ATTRIBUTE DioxidoEnxofreTotal	{baixa,alta}
@ATTRIBUTE Densidade	{baixa,alta}
@ATTRIBUTE PH	{baixa,alta}
@ATTRIBUTE Sulfato	{baixa,mediabaixa,media,mediaalta,alta}
@ATTRIBUTE Alcool	{baixa,media,alta}
@ATTRIBUTE Classe	{1,2,3,4,5,6,7,8,9}


@DATA
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,media,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,7
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,7
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediaalta,baixa,5
